original_filename,english_title,category_or_status,new_project_path_or_duplicate_of,sha256,source_archive_path,translation_note
ultrasonic-scanning-sound-and-victim-search (1).mp3,ultrasonic-scanning-sound-and-victim-search (1),SKIPPED_EXACT_DUPLICATE,assets/audio/admin/sfx/ultrasonic-scanning-sound-and-victim-search.mp3,8e72d2539308d5cac656d4088b08e4e80b1f84e92fbde092d1506b1b7836469a,combined 4/ultrasonic-scanning-sound-and-victim-search (1).mp3,
Vampire Knight OST Track 2 Main Theme (2).mp3,Vampire Knight OST Track 2 Main Theme (2),music,assets/audio/admin/music/vampire-knight-ost-track-2-main-theme-2.mp3,fd395fdf951a449d9c110861d07e7c5f691c13652871e5daa4f3a3db8ecff1df,combined 4/Vampire Knight OST Track 2 Main Theme (2).mp3,
1-02 Roar of the Abyss.mp3,1-02 Roar of the Abyss,music,assets/audio/admin/music/1-02-roar-of-the-abyss.mp3,5e20a7f5900e34fea00501e4fbead0fafcd0f0c4810120d55c237df04e380622,combined 5/1-02 Roar of the Abyss.mp3,
1-06 Treehouse.mp3,1-06 Treehouse,ambience,assets/audio/admin/ambience/1-06-treehouse.mp3,d99590aafe4db913cc8c00ed84aef79924fd6fe2f3ff46638e60b543d6cb5db2,combined 5/1-06 Treehouse.mp3,
1-11 Walking the Streets.mp3,1-11 Walking the Streets,ambience,assets/audio/admin/ambience/1-11-walking-the-streets.mp3,bf019a93ad51193bfcab7d205edfc585692b568c8806b7e689d711704ee23421,combined 5/1-11 Walking the Streets.mp3,
2-05 Jungle Run.mp3,2-05 Jungle Run,music,assets/audio/admin/music/2-05-jungle-run.mp3,8aacdb0833eb8054e7e6e87191fa8dae522333a9a21db90121f93d5d4cabc7f4,combined 5/2-05 Jungle Run.mp3,
BLACK MAGES III OR CLOUD OF DARKNES.mp3,BLACK MAGES III OR CLOUD OF DARKNES,music,assets/audio/admin/music/black-mages-iii-or-cloud-of-darknes.mp3,ff32f5980b753c078df9884c4eb1cdd9206cc07bdc3fa27b7239af8a5a8c337e,combined 5/BLACK MAGES III OR CLOUD OF DARKNES.mp3,
Falins Passion  Delicious in Dungeon Orchestra Cover.mp3,Falins Passion  Delicious in Dungeon Orchestra Cover,music,assets/audio/admin/music/falins-passion-delicious-in-dungeon-orchestra-cover.mp3,75621ca6a3155e6d2c8fa32575b02d6fa4c01d39ef062ed935f572c60ecc7d99,combined 5/Falins Passion  Delicious in Dungeon Orchestra Cover.mp3,
Final Fantasy IV Ds Ost   Cry in Sorrow.mp3,Final Fantasy IV Ds Ost   Cry in Sorrow,music,assets/audio/admin/music/final-fantasy-iv-ds-ost-cry-in-sorrow.mp3,c59bda6db4a0e2bb4bd92429fa085ece420c87ed6e2ced0de65e2745cd1d23b7,combined 5/Final Fantasy IV Ds Ost   Cry in Sorrow.mp3,
freesound_community-014861_wizardry-whispered-voice-ambience-56894.mp3,freesound_community-014861_wizardry-whispered-voice-ambience-56894,voice,assets/audio/admin/voice/freesound-community-014861-wizardry-whispered-voice-ambience-56894.mp3,51e4605156f5653b9eb4d4d5e2a277f05141daf4bc568467bb62e1ded37b3129,combined 5/freesound_community-014861_wizardry-whispered-voice-ambience-56894.mp3,
freesound_community-never-let-you-go-103378.mp3,freesound_community-never-let-you-go-103378,music,assets/audio/admin/music/freesound-community-never-let-you-go-103378.mp3,b1a8305a3f9efa270639cc62ad14b4f8072cd2cc6a20de505ade043dfab760bb,combined 5/freesound_community-never-let-you-go-103378.mp3,
freesound_community-stop-screaming-83198.mp3,freesound_community-stop-screaming-83198,voice,assets/audio/admin/voice/freesound-community-stop-screaming-83198.mp3,d98043059d5fffe3c73760da2cc95e8a3a765ec2cf5580e42ebdb94773dc008b,combined 5/freesound_community-stop-screaming-83198.mp3,
freesound_community-voxgenius01-36084.mp3,freesound_community-voxgenius01-36084,music,assets/audio/admin/music/freesound-community-voxgenius01-36084.mp3,2bf4b0260f98f1f8ce45181cf371c0b1d8a7636836bc3b4e7fdb0174de890013,combined 5/freesound_community-voxgenius01-36084.mp3,
freesound_community-where-are-you-104692.mp3,freesound_community-where-are-you-104692,music,assets/audio/admin/music/freesound-community-where-are-you-104692.mp3,6bd9e4267c3e8854112da4f98edae2e0751b77ea5c9e23beeb5476fa63d29800,combined 5/freesound_community-where-are-you-104692.mp3,
lock_1_default.mp3,lock_1_default,sfx,assets/audio/admin/sfx/lock-1-default.mp3,8dd16f149d851c5bae80e32d7d418cd420591d678beb94f7db5eccaa9878eb43,combined 5/lock_1_default.mp3,
Made in Abyss OST - Made in Abyss.mp3,Made in Abyss OST - Made in Abyss,music,assets/audio/admin/music/made-in-abyss-ost-made-in-abyss.mp3,561a0938c50aa34c5e7c3e9fc16e81653e12744b03b298112935d57f48d32fbd,combined 5/Made in Abyss OST - Made in Abyss.mp3,
